LMODE NFREQ       PERIOD(S)     FREQUENCY(Hz)           C(KM/S)
    0     1    2.000000000       0.5000000000        3.476301689    
    0     2    2.015748031       0.4960937500        3.476458803    
    0     3    2.031746032       0.4921875000        3.476619352    
    0     4    2.048000000       0.4882812500        3.476783435    
    0     5    2.064516129       0.4843750000        3.476951156    
    0     6    2.081300813       0.4804687500        3.477122623    
    0     7    2.098360656       0.4765625000        3.477297950    
    0     8    2.115702479       0.4726562500        3.477477253    
    0     9    2.133333333       0.4687500000        3.477660652    
    0    10    2.151260504       0.4648437500        3.477848273    
    0    11    2.169491525       0.4609375000        3.478040248    
    0    12    2.188034188       0.4570312500        3.478236711    
    0    13    2.206896552       0.4531250000        3.478437803    
    0    14    2.226086957       0.4492187500        3.478643671    
    0    15    2.245614035       0.4453125000        3.478854467    
    0    16    2.265486726       0.4414062500        3.479070350    
    0    17    2.285714286       0.4375000000        3.479291484    
    0    18    2.306306306       0.4335937500        3.479518041    
    0    19    2.327272727       0.4296875000        3.479750200    
    0    20    2.348623853       0.4257812500        3.479988146    
    0    21    2.370370370       0.4218750000        3.480232073    
    0    22    2.392523364       0.4179687500        3.480482184    
    0    23    2.415094340       0.4140625000        3.480738689    
    0    24    2.438095238       0.4101562500        3.481001807    
    0    25    2.461538462       0.4062500000        3.481271768    
    0    26    2.485436893       0.4023437500        3.481548810    
    0    27    2.509803922       0.3984375000        3.481833183    
    0    28    2.534653465       0.3945312500        3.482125148    
    0    29    2.560000000       0.3906250000        3.482424977    
    0    30    2.585858586       0.3867187500        3.482732956    
    0    31    2.612244898       0.3828125000        3.483049380    
    0    32    2.639175258       0.3789062500        3.483374562    
    0    33    2.666666667       0.3750000000        3.483708828    
    0    34    2.694736842       0.3710937500        3.484052519    
    0    35    2.723404255       0.3671875000        3.484405992    
    0    36    2.752688172       0.3632812500        3.484769621    
    0    37    2.782608696       0.3593750000        3.485143798    
    0    38    2.813186813       0.3554687500        3.485528936    
    0    39    2.844444444       0.3515625000        3.485925465    
    0    40    2.876404494       0.3476562500        3.486333840    
    0    41    2.909090909       0.3437500000        3.486754537    
    0    42    2.942528736       0.3398437500        3.487188054    
    0    43    2.976744186       0.3359375000        3.487634919    
    0    44    3.011764706       0.3320312500        3.488095685    
    0    45    3.047619048       0.3281250000        3.488570933    
    0    46    3.084337349       0.3242187500        3.489061276    
